IQA,Accuracy,Count,Num_Accs
0.02,1.0,30,30
0.03,0.9743589743589743,39,38
0.04,0.9833333333333333,60,59
0.05,1.0,45,45
0.06,1.0,48,48
0.07,1.0,51,51
0.08,0.8888888888888888,36,32
0.09,1.0,39,39
0.1,0.9555555555555556,45,43
0.11,0.9833333333333333,60,59
0.12,1.0,21,21
0.13,0.8958333333333334,48,43
0.14,0.9666666666666667,30,29
0.15,1.0,54,54
0.16,0.9696969696969697,33,32
0.17,1.0,39,39
0.18,1.0,21,21
0.19,0.9444444444444444,36,34
0.2,0.9833333333333333,60,59
0.21,1.0,27,27
0.22,0.9047619047619048,21,19
0.23,0.9393939393939394,66,62
0.25,1.0,21,21
0.26,1.0,30,30
0.27,0.9666666666666667,30,29
0.28,1.0,36,36
0.29,1.0,15,15
0.3,1.0,30,30
0.31,0.9607843137254902,51,49
0.32,0.9824561403508771,57,56
0.33,0.9333333333333333,15,14
0.34,0.9607843137254902,51,49
0.35,0.8518518518518519,27,23
0.36,1.0,15,15
0.38,1.0,30,30
0.39,1.0,27,27
0.4,1.0,33,33
0.41,1.0,36,36
0.42,0.9743589743589743,39,38
0.43,1.0,24,24
0.44,1.0,30,30
0.45,1.0,18,18
0.46,0.8,30,24
0.47,0.9487179487179487,39,37
0.48,1.0,18,18
0.49,0.8571428571428571,21,18
0.5,0.9629629629629629,27,26
0.52,1.0,12,12
0.53,1.0,15,15
0.54,0.8701298701298701,77,67
0.55,1.0,21,21
0.57,0.9090909090909091,33,30
0.58,1.0,24,24
0.59,0.9047619047619048,21,19
0.6,0.9761904761904762,42,41
0.61,0.9487179487179487,39,37
0.62,0.8333333333333334,12,10
0.63,1.0,30,30
0.64,0.8518518518518519,27,23
0.66,1.0,20,20
0.67,1.0,18,18
0.68,0.9166666666666666,12,11
0.71,0.9333333333333333,15,14
0.73,0.9166666666666666,12,11
0.75,1.0,12,12
0.76,0.9666666666666667,30,29
0.77,0.9333333333333333,15,14
0.78,0.8484848484848485,33,28
0.79,0.9166666666666666,12,11
0.8,0.75,12,9
0.82,0.8888888888888888,45,40
0.83,0.5,12,6
0.84,1.0,12,12
0.85,1.0,15,15
0.86,0.7916666666666666,24,19
0.87,0.7142857142857143,21,15
0.88,0.9444444444444444,18,17
0.89,0.9444444444444444,18,17
0.92,0.75,24,18
0.96,0.5757575757575758,33,19
0.98,0.4,15,6
0.99,1.0,15,15
