IQA,Preserved,Count,Num_Pre
0.02,0.9629629629629629,27,26
0.03,1.0,18,18
0.04,0.9444444444444444,18,17
0.13,0.8461538461538461,13,11
0.25,1.0,18,18
0.35,0.9230769230769231,13,12
0.37,0.9230769230769231,13,12
0.39,1.0,18,18
0.43,0.9090909090909091,22,20
0.48,1.0,13,13
0.5,0.9444444444444444,18,17
0.51,1.0,13,13
0.52,0.9444444444444444,18,17
0.53,1.0,22,22
0.54,1.0,13,13
0.55,0.9230769230769231,13,12
0.56,0.8636363636363636,22,19
0.57,1.0,40,40
0.61,1.0,36,36
0.62,1.0,31,31
0.65,1.0,31,31
0.66,0.9444444444444444,36,34
0.67,1.0,54,54
0.68,1.0,13,13
0.69,0.9850746268656716,67,66
0.7,0.9354838709677419,31,29
0.71,1.0,27,27
0.72,1.0,18,18
0.73,1.0,54,54
0.74,1.0,31,31
0.75,0.9032258064516129,31,28
0.76,1.0,13,13
0.77,1.0,31,31
0.78,1.0,84,84
0.79,0.9777777777777777,45,44
0.8,0.9014084507042254,71,64
0.81,0.9552238805970149,67,64
0.82,0.9354838709677419,31,29
0.83,0.9333333333333333,90,84
0.84,0.9797979797979798,99,97
0.85,0.9850746268656716,67,66
0.86,0.9595959595959596,99,95
0.87,0.9902912621359223,103,102
0.88,0.9814814814814815,108,106
0.89,0.9629629629629629,189,182
0.9,0.9288888888888889,225,209
0.91,0.9640287769784173,139,134
0.92,0.935251798561151,139,130
0.93,0.9468085106382979,94,89
0.94,0.967741935483871,31,30
0.95,0.8757309941520468,684,599
0.96,0.8624454148471615,458,395
0.97,0.8766233766233766,154,135
